Harvest,Species,Treatment,Tag,Pot,Week,Height,New-orignal,Absolute_change_2,Absolute_change,log_Height,log_Absolute_change_2,log_Absolute_change,XXX
3,VE,4%,H3VE4,95,1,32,0,0,0,1.505149978,#NUM!,0,
3,VE,4%,H3VE4,98,1,0,0,#DIV/0!,0,0,#NUM!,0,
3,VE,4%,H3VE4,104,1,46,0,0,0,1.662757832,#NUM!,0,
3,VE,4%,H3VE4,109,1,0,0,#DIV/0!,0,0,#NUM!,0,
3,VE,4%,H3VE4,115,1,22,0,0,0,1.342422681,#NUM!,0,
3,VE,4%,H3VE4,119,1,9,0,0,0,0.954242509,#NUM!,0,
3,VE,4%,H3VE4,171,1,0,0,#DIV/0!,0,0,#NUM!,0,
3,VE,4%,H3VE4,189,1,0,0,#DIV/0!,0,0,#NUM!,0,
3,VE,8%,H3VE8,92,1,29,0,0,0,1.462397998,#NUM!,0,
3,VE,8%,H3VE8,99,1,28,0,0,0,1.447158031,#NUM!,0,
3,VE,8%,H3VE8,131,1,18,0,0,0,1.255272505,#NUM!,0,
3,VE,8%,H3VE8,135,1,0,0,#DIV/0!,0,0,#NUM!,0,
3,VE,8%,H3VE8,161,1,0,0,#DIV/0!,0,0,#NUM!,0,
3,VE,8%,H3VE8,177,1,0,0,#DIV/0!,0,0,#NUM!,0,
3,VE,8%,H3VE8,206,1,0,0,#DIV/0!,0,0,#NUM!,0,
3,VE,8%,H3VE8,289,1,0,0,#DIV/0!,0,0,#NUM!,0,
3,VE,16%,H3VE16,101,1,29,0,0,0,1.462397998,#NUM!,0,
3,VE,16%,H3VE16,116,1,27,0,0,0,1.431363764,#NUM!,0,
3,VE,16%,H3VE16,129,1,17,0,0,0,1.230448921,#NUM!,0,
3,VE,16%,H3VE16,163,1,0,0,#DIV/0!,0,0,#NUM!,0,
3,VE,16%,H3VE16,166,1,0,0,#DIV/0!,0,0,#NUM!,0,
3,VE,16%,H3VE16,173,1,0,0,#DIV/0!,0,0,#NUM!,0,
3,VE,16%,H3VE16,175,1,0,0,#DIV/0!,0,0,#NUM!,0,
3,VE,16%,H3VE16,191,1,0,0,#DIV/0!,0,0,#NUM!,0,
3,VE,16%,H3VE16,192,1,0,0,#DIV/0!,0,0,#NUM!,0,
3,VE,16%,H3VE16,193,1,0,0,#DIV/0!,0,0,#NUM!,0,
3,VE,4%,H3VE4,95,2,41,9,0.219512195,0.219512195,1.612783857,0.954242509,0.954242509,
3,VE,4%,H3VE4,104,2,55,9,0.163636364,0.163636364,1.740362689,0.954242509,0.954242509,
3,VE,4%,H3VE4,115,2,31,9,0.290322581,0.290322581,1.491361694,0.954242509,0.954242509,
3,VE,4%,H3VE4,171,2,9,9,1,1,0.954242509,0.954242509,0.954242509,
3,VE,4%,H3VE4,189,2,9,9,1,1,0.954242509,0.954242509,0.954242509,
3,VE,4%,H3VE4,98,2,11,11,1,1,1.041392685,1.041392685,1.041392685,
3,VE,4%,H3VE4,109,2,11,11,1,1,1.041392685,1.041392685,1.041392685,
3,VE,4%,H3VE4,119,2,30,21,0.7,0.7,1.477121255,1.322219295,1.322219295,
3,VE,8%,H3VE8,177,2,9,9,1,1,0.954242509,0.954242509,0.954242509,
3,VE,8%,H3VE8,206,2,9,9,1,1,0.954242509,0.954242509,0.954242509,
3,VE,8%,H3VE8,289,2,9,9,1,1,0.954242509,0.954242509,0.954242509,
3,VE,8%,H3VE8,92,2,40,11,0.275,0.275,1.602059991,1.041392685,1.041392685,
3,VE,8%,H3VE8,131,2,35,17,0.485714286,0.485714286,1.544068044,1.230448921,1.230448921,
