Harvest ,Species,Treatment ,Treatment_2,Pot,Leaves_DW ,Stem_DW,AG_DW,BG_DW,Total_plant,Nodule,Nodules_W,Nodules_Present,Height ,R_S,Nodule_mass_fraction,root_mass_fraction
2,VS,8%,8,1,0.351,0.361,0.712,0.39,1.102,26,0.007,TRUE,264,0.547752809,0.006352087,0.353901996
1,VS,4%,4,3,0.111,0.076,0.187,0.119,0.306,0,0,FALSE,107,0.636363636,0,0.388888889
2,VS,16%,16,4,0.134,0.131,0.265,0.201,0.466,16,0.001,TRUE,185,0.758490566,0.002145923,0.431330472
3,VS,4%,4,5,0.275,0.44,0.715,0.626,1.341,9,0.001,TRUE,313,0.875524476,0.000745712,0.466815809
2,VS,4%,4,6,0.167,0.24,0.407,0.342,0.749,17,0.006,TRUE,230,0.84029484,0.008010681,0.456608812
2,VS,8%,8,7,0.27,0.331,0.601,0.439,1.04,7,0.001,TRUE,320,0.730449251,0.000961538,0.422115385
2,VS,4%,4,8,0.265,0.296,0.561,0.378,0.939,10,0.009,TRUE,278,0.673796791,0.009584665,0.402555911
1,VS,4%,4,9,0.084,0.07,0.154,0.061,0.215,0,0,FALSE,129,0.396103896,0,0.28372093
3,VS,4%,4,10,0.196,0.244,0.44,0.491,0.931,51,0.042,TRUE,255,1.115909091,0.045112782,0.527389903
2,VS,4%,4,11,0.147,0.173,0.32,0.242,0.562,7,0.006,TRUE,228,0.75625,0.010676157,0.430604982
3,VS,4%,4,12,0.281,0.422,0.703,0.778,1.481,31,0.001,TRUE,262,1.106685633,0.000675219,0.525320729
2,VS,4%,4,14,0.122,0.18,0.302,0.198,0.5,13,0.006,TRUE,195,0.655629139,0.012,0.396
3,VE,8%,8,15,0.164,0.219,0.383,0.212,0.595,0,0,FALSE,199,0.553524804,0,0.356302521
3,VS,4%,4,15,0.428,0.536,0.964,1.155,2.119,0,0,FALSE,287,1.19813278,0,0.545068429
2,VS,4%,4,16,0.191,0.297,0.488,0.287,0.775,4,0.001,TRUE,290,0.588114754,0.001290323,0.370322581
1,VS,4%,4,17,0.093,0.071,0.164,0.095,0.259,0,0,FALSE,133,0.579268293,0,0.366795367
3,VS,4%,4,18,0.317,0.488,0.805,0.934,1.739,4,0.006,TRUE,282,1.160248447,0.003450259,0.537090282
3,VS,4%,4,19,0.383,0.392,0.775,0.779,1.554,30,0.066,TRUE,295,1.00516129,0.042471042,0.501287001
3,VS,8%,8,20,0.469,0.588,1.057,0.84,1.897,131,0.077,TRUE,328,0.794701987,0.040590406,0.442804428
3,VS,4%,4,21,0.221,0.324,0.545,0.517,1.062,10,0.003,TRUE,311,0.948623853,0.002824859,0.486817326
3,VS,4%,4,22,0.223,0.345,0.568,0.729,1.297,36,0.012,TRUE,203,1.283450704,0.00925212,0.562066307
1,VS,4%,4,23,0.126,0.102,0.228,0.146,0.374,0,0,FALSE,170,0.640350877,0,0.390374332
2,VS,4%,4,24,0.218,0.237,0.455,0.414,0.869,27,0.005,TRUE,235,0.90989011,0.00575374,0.476409666
